Time,%CO2 reading,removal efficiency% at t,Avg %CO2 in t to t+1,Avg. CO2 removal frac. in t-t+1,gram of CO2 added,CO2 mass flow rate (gm./min),cumulative CO2,moles of CO2 in solution,CO2 concentration in mol/kg solution,CO2 mole ratio at inlet,CO2 mole ratio at outlet,(Y1-Y2)+LN(Y1/Y2),cross-sectional area,height of packed bed,pressure,inert gas flow rate (kmol/m2/hr),mass transfer coefficient (KGav),moles of ammonia reacted (assuming ABC),total ammonia moles in solution,unreacted moles of ammonia,unreacted NH3 moles (new calc.),ammonia % (new calc.),ammonia% at t,ln(ammonia%),ln(Kgav),ln(ammonia %),
125,0.1,99.5049504950495,0.1,0.995049504950495,23.6892857142857,,296.734821428571,6.74397321428571,1.48219191522763,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,6.74397321428571,,21.5605906173979,14.8166174031122,5.2568123828125,7.64951787946429,2.03464262356021,-0.290229379325623,1.65952483217866,-0.290229379325623
135,0.1,99.5049504950495,0.1,0.995049504950495,23.6892857142857,,320.424107142857,7.28236607142857,1.60052001569859,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,7.28236607142857,,20.1238398178634,13.6608654875063,5.05748998374418,7.45019548039597,2.00824027102656,-0.290229379325623,1.62087030958211,-0.290229379325623
145,0.1,99.5049504950495,0.1,0.995049504950495,23.6892857142857,,344.113392857143,7.82075892857143,1.71884811616954,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,7.82075892857143,,19.5854469607206,13.1224726303634,4.85816758467586,7.25087308132764,1.98112188662678,-0.290229379325623,1.58066132662473,-0.290229379325623
155,0.1,99.5049504950495,0.1,0.995049504950495,23.6892857142857,,367.802678571428,8.35915178571428,1.8371762166405,,0.001001001001001,5.78504570967915,,,,,0.748091951069438,8.35915178571428,,19.0470541035777,12.5840797732206,4.65884518560753,7.05155068225932,1.95324754756804,-0.290229379325623,1.53876760317922,-0.290229379325623
161,0.2,99.009900990099,0.15,0.992574257425743,14.1782142857143,,381.980892857143,8.68138392857143,1.9079964678179,,0.00200400801603206,5.08989401976708,,,,,0.658198558675763,8.68138392857143,,18.7248219607206,12.2618476303634,4.53954924228455,6.93225473893634,1.93618511943787,-0.41824863227207,1.51282772128368,-0.41824863227207
171,0.3,98.5148514851485,0.25,0.987623762376238,23.5125,,405.493392857143,9.21575892857143,2.02544152276295,,0.00300902708124373,4.68242138624408,,,,,0.605506322050975,9.21575892857143,,18.1904469607206,11.7274726303634,4.34171432380629,6.73441982045808,1.90723166219598,-0.501690275001424,1.46826927560351,-0.501690275001424
181,0.4,98.019801980198,0.35,0.982673267326732,23.3946428571429,,428.888035714286,9.74745535714285,2.14229788069074,,0.00401606425702811,4.39272876423928,,,,,0.568044782474304,9.74745535714285,,17.6587505321492,11.195776201792,4.14487105905474,6.53757655570652,1.87756653956439,-0.565555020984544,1.4218716805171,-0.565555020984544
191,0.6,97.029702970297,0.5,0.975247524752475,23.2178571428571,,452.105892857143,10.2751339285714,2.25827119309262,,0.00603621730382294,3.98323345215629,,,,,0.515090983603295,10.2751339285714,,16.3633001984532,10.1813247520247,3.94063546652227,6.33334096317405,1.8458278952093,-0.663411726731348,1.37134199622403,-0.663411726731348
202,0.9,95.5445544554456,0.75,0.962871287128713,25.2155357142857,,477.321428571428,10.8482142857143,2.3842229199372,,0.00908173562058527,3.57170015340478,,,,,0.461873642921273,10.8482142857143,,15.7902198413104,9.6082443948818,3.71882731920084,6.11153281585263,1.81017761174586,-0.772463925478794,1.31340838181353,-0.772463925478794
213,1.5,92.5742574257426,1.2,0.940594059405941,24.6321428571429,,501.953571428571,11.4080357142857,2.50726059654631,,0.0152284263959391,3.04865494570554,,,,,0.394236163537044,11.4080357142857,,15.2303984127389,9.04842296631037,3.50215097991513,5.89485647656691,1.7740801870546,-0.930805149412322,1.25337734541725,-0.930805149412322
